frame_index,time_s,G_skin_raw,G_normalized,frame_luminance,face_detected,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm
16,0.50002082275638,140.11231381404,0.999981872380671,117.694467193116,1,-0.00379623865009812,-0.00250714413928926,-0.00298307258010219,-0.000257904951425591,-0.00301088406884077,NaN
17,0.533355544273472,140.488885840733,1.00266946771108,117.900290800265,1,-0.00683174052859689,-0.00300096074175164,-0.00360817960684216,4.99427159687876e-05,-0.00363310298335389,NaN
18,0.566690265790564,140.394432164306,1.0019953516278,117.829376441581,1,-0.00471390703659991,-0.00309251318993933,-0.00365505309843695,0.000355077143472948,-0.00368227028182231,NaN
19,0.600024987307656,140.365143845429,1.00178632083562,117.786790183072,1,-0.00351554682698652,-0.00274905540960955,-0.00307542023290419,0.000618386782205975,-0.00310776729215279,NaN
20,0.633359708824748,140.144622483395,1.00021245942042,117.831552305962,1,-0.0023300611154532,-0.00210402770057144,-0.00210759740271839,0.000806411618045369,-0.00214162290974338,NaN
21,0.66669443034184,139.844817615127,0.998072751457874,117.446169568076,1,-0.00153877737446773,-0.00136216885361488,-0.00107731932163805,0.000894756798654382,-0.00111158362056032,NaN
22,0.700029151858932,140.066867227915,0.999657520001856,117.696789678968,1,-0.000634326904256688,-0.000720846082685934,-0.000255003644465157,0.000871610701999513,-0.000292179242917678,NaN
23,0.733363873376024,139.866380196343,0.998226643644442,117.258308987799,1,0.000822696323449001,-0.000326328995887096,0.000198832448274962,0.000739362160198032,0.000157067583045355,NaN
24,0.766698594893116,139.668366521489,0.996813419639012,117.248466675173,1,0.002217922872355,-0.000219844329442213,0.000312134453695805,0.000514356567845708,0.000273333293730827,NaN
25,0.800033316410208,140.456745082223,1.00244007905136,117.181230973355,1,-0.00261178762722558,-0.000308194377116147,0.00033019231264841,0.000224147414702579,0.000297317467781176,NaN
26,0.8333680379273,139.727103706578,0.997232627050017,117.084327570467,1,0.0015562661506564,-0.000455088635938284,0.000490285537515101,-9.33730931821655e-05,0.00045473481542371,NaN
27,0.866702759444392,139.855238231447,0.998147123418016,116.991347312605,1,0.000924064652104484,-0.000598490399475504,0.000764741582003746,-0.000399385920247721,0.00072280570955116,NaN
28,0.900037480961484,139.988628055113,0.999099126864364,117.162384457378,1,0.00174887046516659,-0.000719465200539074,0.00096554673792927,-0.000654705517381523,0.000922579056566441,NaN
29,0.933372202478576,139.835346609815,0.998005156873447,117.168519465757,1,0.000369734418575129,-0.000743343690195881,0.00102858585398022,-0.000827965623997435,0.000987244047757256,NaN
30,0.966706923995668,140.077387037706,0.999732599906008,117.045705161253,1,0.00242729809705133,-0.000518146708371057,0.00113022810029224,-0.000897633657694951,0.00109425136976398,NaN
31,1.00004164551276,140.113195528822,0.999988165180884,117.073027216707,1,-0.000485426251897403,0.000134512792381903,0.00161345146854727,-0.000857045829747861,0.00158487146395681,NaN
32,1.03337636702985,140.239150736376,1.00088710775672,116.824912540414,1,0.000911461709995343,0.00130196226611059,0.00273437491272212,-0.000712170512367246,0.00270516580191039,NaN
33,1.06671108854694,139.841968709827,0.998052418814874,116.727876540345,1,0.00485370943405439,0.00285143020791597,0.0043701287535607,-0.000483093758872874,0.00433315950906269,NaN
34,1.10004581006404,138.733392193973,0.990140505937099,116.55851697439,1,0.00498149570237161,0.00445280370721,0.00605584213303994,-0.000200537809148682,0.00601628709647047,NaN
35,1.13338053158113,138.439946210981,0.98804618135186,115.966821627257,1,0.00742837649250028,0.00575519179207717,0.00734304689473883,9.97663253270518e-05,0.00731128285037439,NaN
36,1.16671525309822,139.48321541048,0.995491995778253,116.151069911424,1,0.00390485766061366,0.00652762355293704,0.00804181270973942,0.000379274009359249,0.00802076757014908,NaN
