frame_index,time_s,G_skin_raw,G_normalized,frame_luminance,face_detected,skin_pixel_count,BVP_detrended,BVP_butterworth,BVP_cheby1,BVP_cheby2,BVP_elliptic,gt_bpm
21,0.666666666666667,121.027664800983,1.00078825855036,126.860778960272,1,89735,-0.00211876097191643,-0.00267476140683852,-0.00200419879286125,-7.31956643108949e-05,-0.00236379830662643,NaN
22,0.7,120.889182548767,0.999643136794413,125.464898786974,1,87110,-0.00670841092868435,-0.00105743251614253,-3.86874451218723e-05,0.000827301340367476,-0.00060423418072612,NaN
23,0.733333333333333,120.925552015476,0.999943879069425,126.398031311736,1,87571,-0.00523389113343242,0.0010426465201166,0.00253350528386425,0.00124173276140389,0.00181933897916945,NaN
24,0.766666666666667,120.921609127651,0.999911274987984,126.113923720833,1,89557,0.00152766276299166,0.00311329682498045,0.00509089697098636,0.00102794521013359,0.00439374629671499,NaN
25,0.8,120.867899597943,0.9994671462279,125.41729862753,1,89668,0.00268953351300771,0.00464592620640982,0.00697754015845852,0.000183304620422302,0.00648203190736246,NaN
26,0.833333333333333,120.951450395683,1.00015803502186,126.479452971622,1,89648,0.000381624065453945,0.00537587571841524,0.00779237686654536,-0.00113415585144614,0.00758694460332869,NaN
27,0.866666666666667,120.757519128864,0.998554400554344,125.011310833945,1,87232,-0.00155254986044229,0.00537703260220123,0.00754217431942579,-0.00262064819914391,0.00755548493985996,NaN
28,0.9,120.886970599315,0.999624845992526,125.382243851913,1,87534,-0.00853398426506469,0.00497497176824945,0.00660408529406474,-0.0038787969069161,0.00664107439035126,NaN
29,0.933333333333333,120.974170087425,1.00034590612365,124.78271889664,1,87587,-0.015311008797142,0.00455718847836309,0.00554564457101277,-0.00449937016246712,0.0054054967402852,NaN
30,0.966666666666667,120.92722710985,0.999957730570112,125.580269696397,1,89953,-0.00126705394165905,0.00441536942850239,0.00490897957563419,-0.0041560034071928,0.00451437934141252,NaN
31,1,120.947967223766,1.00012923237114,125.551537761939,1,89795,-0.00274013939854734,0.00470837870299151,0.00505430623631143,-0.0027015227594274,0.00449943182089444,NaN
32,1.03333333333333,120.809367361671,0.998983138088904,124.567427865775,1,87187,-0.00728890613430333,0.00552115194713159,0.00609636793589883,-0.000222600380914908,0.00558679659970206,103
33,1.06666666666667,121.110617778804,1.00147420391956,126.279920323134,1,90365,-0.00846707306726824,0.00691134586293008,0.00790800710078174,0.00294097332125885,0.00762367585860418,103
34,1.1,121.019364002678,1.00071961852914,125.745474982169,1,89263,-0.00820831150049561,0.00885629285128183,0.0101485753656991,0.00624114736626793,0.0101304027340695,103
35,1.13333333333333,121.003901670261,1.00059175916113,125.143596625034,1,87191,-0.0172001851401362,0.0111179098092889,0.0123013044068223,0.0090153162279966,0.0124330269333612,103
